Date;Open;High;Low;Last Close;Chg.%;Total Value;Total Volume
03.11.2009;8.645;8.834;8.327;8.805;+2.43%;30,346,008;3,530,209
03.12.2009;8.755;9.421;8.387;9.382;+6.55%;26,996,486;3,059,748
03/13/2009;9.799;9.809;9.003;9.053;-3.50%;35,827,987;3,818,312
03/16/2009;9.302;10.217;9.252;10.217;+12.86%;36,913,609;3,814,400
03/17/2009;9.939;10.426;9.750;10.207;-0.10%;50,009,888;4,919,600
03/18/2009;10.436;11.142;10.317;11.063;+8.38%;44,555,464;4,180,261
03/19/2009;11.242;13.033;11.242;12.366;+11.78%;112,346,481;9,137,552
03/20/2009;11.938;12.635;10.764;12.187;-1.45%;174,089,416;14,435,071
03/23/2009;12.635;13.620;12.436;13.620;+11.76%;43,532,717;3,390,698
03/24/2009;14.306;14.674;12.933;13.152;-3.43%;72,425,221;5,282,135
03/25/2009;13.132;14.923;12.684;14.923;+13.46%;71,985,548;5,116,777
03/26/2009;14.923;15.420;14.276;15.420;+3.33%;64,073,432;4,305,360
03/27/2009;15.420;15.420;13.679;13.679;-11.29%;51,772,646;3,623,133
03/30/2009;12.754;12.754;11.441;11.441;-16.36%;44,268,695;3,634,917
03/31/2009;11.938;12.704;11.859;12.684;+10.87%;50,571,625;4,129,429
04.01.2009;12.933;13.122;12.187;12.635;-0.39%;41,943,742;3,306,724
04.02.2009;13.431;14.605;13.361;14.425;+14.17%;69,010,968;4,943,259
04.03.2009;14.425;15.470;14.047;14.684;+1.79%;97,110,083;6,514,996
04.06.2009;15.311;15.510;13.928;14.008;-4.61%;55,303,538;3,747,279
04.07.2009;14.177;14.177;13.132;13.132;-6.25%;42,231,729;3,095,741
04.08.2009;12.704;14.376;12.655;14.376;+9.47%;35,446,323;2,603,517
04.09.2009;14.724;15.371;14.316;15.291;+6.37%;37,881,747;2,542,595
04/14/2009;15.321;16.962;15.291;16.962;+10.93%;74,429,128;4,553,244
04/15/2009;15.977;16.475;15.241;15.321;-9.68%;58,718,095;3,686,390
04/16/2009;15.918;16.266;15.530;15.570;+1.62%;50,153,808;3,155,038
04/17/2009;15.818;15.898;15.430;15.868;+1.92%;33,568,094;2,137,187
04/20/2009;15.570;15.788;14.634;14.654;-7.65%;40,395,571;2,682,583
04/21/2009;14.575;15.351;14.008;15.022;+2.51%;43,683,055;3,013,362
04/22/2009;15.172;15.719;14.585;15.420;+2.65%;55,451,346;3,650,403
04/23/2009;15.172;15.699;15.022;15.520;+0.65%;27,490,620;1,786,454
04/24/2009;15.420;15.769;15.331;15.470;-0.32%;22,500,186;1,446,386
04/27/2009;14.873;15.659;14.306;15.619;+0.96%;24,579,825;1,622,433
04/28/2009;15.301;15.351;14.903;15.032;-3.76%;24,453,496;1,617,632
04/29/2009;15.241;15.371;14.963;15.072;+0.26%;39,625,181;2,623,901
04/30/2009;15.967;16.216;15.669;15.918;+5.61%;60,839,780;3,808,514
05.04.2009;16.395;17.529;16.256;17.460;+9.69%;45,870,694;2,684,129
05.05.2009;17.788;19.887;17.788;19.887;+13.90%;141,422,847;7,528,315
05.06.2009;19.390;20.225;18.654;19.400;-2.45%;89,703,710;4,587,118
05.07.2009;20.255;21.091;19.897;20.007;+3.13%;79,851,486;3,879,310
05.08.2009;20.106;21.638;20.106;21.260;+6.27%;59,940,017;2,852,981
05.11.2009;21.389;21.638;20.633;20.892;-1.73%;65,699,215;3,116,444
05.12.2009;20.265;20.872;19.808;20.245;-3.10%;46,383,564;2,272,786
05/13/2009;20.683;20.872;17.022;17.022;-15.92%;99,008,659;5,394,475
05/14/2009;17.062;17.699;16.674;16.763;-1.52%;97,611,978;5,692,600
05/15/2009;16.913;17.430;16.296;16.763;0.00%;59,982,272;3,555,296
